sensor_id,timestamp,consumption_Wh
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T00:00:00Z,162
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T00:00:00Z,150
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T00:00:00Z,147
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T01:00:00Z,50
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T01:00:00Z,31
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T01:00:00Z,50
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T02:00:00Z,54
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T02:00:00Z,50
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T02:00:00Z,92
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T03:00:00Z,50
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T03:00:00Z,18
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T03:00:00Z,50
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T04:00:00Z,50
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T04:00:00Z,23
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T04:00:00Z,53
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T05:00:00Z,50
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T05:00:00Z,50
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T05:00:00Z,50
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T06:00:00Z,792
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T06:00:00Z,684
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T06:00:00Z,754
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T07:00:00Z,1150
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T07:00:00Z,1204
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T07:00:00Z,1406
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T08:00:00Z,398
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T08:00:00Z,457
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T08:00:00Z,436
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T09:00:00Z,350
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T09:00:00Z,350
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T09:00:00Z,350
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T10:00:00Z,300
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T10:00:00Z,300
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T10:00:00Z,300
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T11:00:00Z,300
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T11:00:00Z,300
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T11:00:00Z,300
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T12:00:00Z,800
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T12:00:00Z,874
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T12:00:00Z,800
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T13:00:00Z,273
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T13:00:00Z,265
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T13:00:00Z,200
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T14:00:00Z,948
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T14:00:00Z,957
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T14:00:00Z,900
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T15:00:00Z,200
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T15:00:00Z,200
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T15:00:00Z,298
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T16:00:00Z,248
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T16:00:00Z,284
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T16:00:00Z,200
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T17:00:00Z,1290
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T17:00:00Z,1398
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T17:00:00Z,1493
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T18:00:00Z,821
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T18:00:00Z,600
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T18:00:00Z,600
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T19:00:00Z,743
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T19:00:00Z,600
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T19:00:00Z,600
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T20:00:00Z,600
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T20:00:00Z,645
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T20:00:00Z,600
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T21:00:00Z,673
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T21:00:00Z,600
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T21:00:00Z,693
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T22:00:00Z,300
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T22:00:00Z,300
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T22:00:00Z,300
7dd8f7f3-95e3-4b14-bd8c-1b9eb7056d7a,2017-03-30T23:00:00Z,204
1a258617-2d1d-4dd8-9ad0-046ed2881b58,2017-03-30T23:00:00Z,132
b08c6195-8cd9-43ab-b94d-e0b887dd73d2,2017-03-30T23:00:00Z,50
